hour,energy
0,23951.77686516085
1,23149.849211788896
2,22785.64271047228
3,22850.080821917807
4,23847.32991101985
5,25804.76506849315
6,27999.859396433472
7,29799.787234042553
8,31069.94718792867
9,31801.524657534246
10,32113.622176591376
11,32196.815500685872
12,31762.938271604937
13,30954.737491432486
14,30441.37559972584
15,30249.32899246059
16,30298.285322359396
17,30866.736301369863
18,31686.271418779987
19,32225.18493150685
20,31250.43904109589
21,29165.64383561644
22,27138.182067077345
23,25345.879534565367
