energy,price
24382.0,64.92
22734.0,64.48
21286.0,59.32
20264.0,56.04
19905.0,53.63
20010.0,51.73
20377.0,51.43
20094.0,48.98
20637.0,54.2
22250.0,58.94
23547.0,59.86
24133.0,60.12
24713.0,62.05
24672.0,62.06
23528.0,59.76
23118.0,61.18
23606.0,64.74
26447.0,74.26
28020.0,74.24
29014.0,75.64
29571.0,73.92
29031.0,70.53
26798.0,64.13
27070.0,64.02
24935.0,58.46
23214.0,54.7
22540.0,54.91
22096.0,53.07
22066.0,54.23
22275.0,58.22
23025.0,67.55
23699.0,70.33
25834.0,71.26
27927.0,75.86
29072.0,73.65
29071.0,74.19
29439.0,71.51
29241.0,71.04
27973.0,71.24
27320.0,70.64
27157.0,72.85
29045.0,82.55
31967.0,83.33
33266.0,83.23
33668.0,79.06
32426.0,76.2
29705.0,71.75
25564.0,66.82
23584.0,63.35
22194.0,58.79
21296.0,57.44
21145.0,55.29
21316.0,56.22
21674.0,58.13
22127.0,62.06
22756.0,67.36
24654.0,69.21
26454.0,70.35
26959.0,68.77
26716.0,68.82
26802.0,68.23
26416.0,67.97
25362.0,62.76
24770.0,62.03
24501.0,66.69
24992.0,71.5
27964.0,72.14
29694.0,72.45
29874.0,72.86
28979.0,70.1
26863.0,67.62
25254.0,55.22
23620.0,50.54
22606.0,48.68
22191.0,48.02
21929.0,47.06
22195.0,46.79
24035.0,47.63
26807.0,47.44
28316.0,50.84
29871.0,54.84
30585.0,59.95
30772.0,59.35
30685.0,57.03
30429.0,59.22
28741.0,58.56
28249.0,52.07
28105.0,52.15
27908.0,61.12
27577.0,71.98
27418.0,74.64
28604.0,75.38
30346.0,76.49
28190.0,73.83
26270.0,69.51
25069.0,70.77
23390.0,64.89
21988.0,60.91
21182.0,59.68
20778.0,58.04
20309.0,59.57
20252.0,69.73
19964.0,72.97
20796.0,77.92
22478.0,79.59
23834.0,81.75
24429.0,80.82
21888.0,89.08
22048.0,90.97
22858.0,88.51
25604.0,82.85
25381.0,80.52
23822.0,72.18
23711.0,71.48
22354.0,64.76
21546.0,60.22
21171.0,57.14
21042.0,53.94
21618.0,53.43
23433.0,56.68
25885.0,63.49
28456.0,66.75
29708.0,73.07
30887.0,78.95
31409.0,75.91
31947.0,73.12
32078.0,68.02
31193.0,66.67
30542.0,65.08
30591.0,66.1
30799.0,72.0
30481.0,78.6
30147.0,81.18
30120.0,81.65
30747.0,78.63
29978.0,73.2
27421.0,72.46
30518.0,67.24
28484.0,64.17
27026.0,62.12
26248.0,62.11
25838.0,60.05
26021.0,62.48
26992.0,70.01
28625.0,75.2
31015.0,83.3
33276.0,93.14
34221.0,100.45
34796.0,95.17
35535.0,85.23
35752.0,81.5
35605.0,77.29
36020.0,76.61
36066.0,77.15
36195.0,79.51
35739.0,91.05
35188.0,95.29
34470.0,91.25
33716.0,87.08
32697.0,78.15
30477.0,75.07
26788.0,73.73
25146.0,70.99
23889.0,68.3
23046.0,64.22
22587.0,63.53
22361.0,66.7
22551.0,69.79
22543.0,75.57
24042.0,82.36
25932.0,87.03
27664.0,91.08
28448.0,89.29
28881.0,85.45
29329.0,80.33
29026.0,77.33
28237.0,77.03
27868.0,78.15
27654.0,80.48
27507.0,90.87
27544.0,94.11
27578.0,90.26
28222.0,84.66
28221.0,77.05
26436.0,73.14
